City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
437,Waipawa,NZ,-41.4122,175.5153,56.64,93,91,5.01,overcast clouds,2022-05-14 14:23:49
438,Ormara,PK,25.2088,64.6357,83.79,83,0,14.2,clear sky,2022-05-14 14:23:49
439,Caucaia,BR,-3.7361,-38.6531,88.3,69,40,18.41,scattered clouds,2022-05-14 14:23:50
440,Bandarbeyla,SO,9.4942,50.8122,86.04,70,3,21.79,clear sky,2022-05-14 14:23:50
441,Richards Bay,ZA,-28.783,32.0377,70.52,84,100,7.54,overcast clouds,2022-05-14 14:23:51
442,Bay Roberts,CA,47.5999,-53.2648,40.05,88,100,10.0,light rain,2022-05-14 14:23:51
443,Komsomolskiy,UZ,40.4272,71.7189,61.52,77,75,2.3,broken clouds,2022-05-14 14:23:51
444,Portland,US,45.5234,-122.6762,57.61,94,100,8.05,mist,2022-05-14 14:19:28
445,Chapais,CA,49.7834,-74.8492,55.18,70,93,5.77,overcast clouds,2022-05-14 14:23:52
446,Loandjili,CG,-4.7561,11.8578,81.73,78,43,9.86,scattered clouds,2022-05-14 14:23:52
447,Coahuayana,MX,18.7333,-103.6833,81.28,55,100,1.81,overcast clouds,2022-05-14 14:23:53
448,Moerai,PF,-22.4333,-151.3333,78.89,80,16,18.39,few clouds,2022-05-14 14:23:53
449,Piacabucu,BR,-10.4056,-36.4344,81.16,80,84,11.77,broken clouds,2022-05-14 14:23:54
450,Ilula,TZ,-7.6766,36.0366,77.54,75,78,7.25,broken clouds,2022-05-14 14:23:54
451,Catuday,PH,16.2923,119.8062,83.57,71,100,1.77,overcast clouds,2022-05-14 14:23:55
452,Yuma,US,32.7253,-114.6244,78.89,20,0,4.61,clear sky,2022-05-14 14:21:10
453,Marsassoum,SN,12.8275,-15.9806,98.69,20,62,3.38,broken clouds,2022-05-14 14:23:55
454,Khandbari,NP,27.3747,87.2039,73.18,80,59,2.26,broken clouds,2022-05-14 14:23:56
455,Flinders,AU,-34.5833,150.8552,69.19,92,19,5.01,few clouds,2022-05-14 14:23:56
456,Kedrovyy,RU,56.1667,91.8167,61.21,37,4,2.8,clear sky,2022-05-14 14:23:56
457,Tenosique,MX,17.4833,-91.4333,80.56,58,6,3.98,clear sky,2022-05-14 14:24:57
458,Buzmeyin,TM,38.0507,58.2056,73.13,35,40,4.61,scattered clouds,2022-05-14 14:24:57
459,Anchorage,US,61.2181,-149.9003,38.66,85,0,6.91,clear sky,2022-05-14 14:20:03
460,Elat,IL,29.5581,34.9482,100.24,13,61,14.97,dust,2022-05-14 14:24:58
461,Foshan,CN,23.0268,113.1315,73.44,86,100,5.79,light rain,2022-05-14 14:24:58
462,Hagi,JP,34.4,131.4167,58.86,55,98,1.3,overcast clouds,2022-05-14 14:24:59
