City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Ostrovnoy,RU,2022-05-09 20:13:25,68.0531,39.5131,31.86,78,9,15.59
96,Muros,ES,2022-05-09 20:13:26,42.7762,-9.0603,63.09,81,100,7.34
97,Ulaangom,MN,2022-05-09 20:13:26,49.9811,92.0667,37.0,34,1,2.17
98,Thompson,CA,2022-05-09 20:09:20,55.7435,-97.8558,63.48,54,62,7.92
99,Kruisfontein,ZA,2022-05-09 20:13:27,-34.0033,24.7314,53.89,72,13,5.41
100,Anadyr,RU,2022-05-09 20:13:27,64.75,177.4833,24.62,84,5,10.09
101,Barrhead,GB,2022-05-09 20:13:28,55.7992,-4.3929,55.85,87,75,21.85
102,Naze,JP,2022-05-09 20:13:28,28.3667,129.4833,69.62,90,98,3.33
103,Preobrazheniye,RU,2022-05-09 20:12:16,42.9019,133.9064,48.83,47,0,7.99
104,Lamont,US,2022-05-09 20:13:29,35.2597,-118.9143,61.54,40,10,7.61
105,Yellowknife,CA,2022-05-09 20:10:20,62.456,-114.3525,24.57,62,100,21.0
106,Ponta Do Sol,PT,2022-05-09 20:13:29,32.6667,-17.1,74.03,42,36,6.91
107,Bereznik,RU,2022-05-09 20:13:30,62.8551,42.7072,32.34,81,0,2.37
108,Mar Del Plata,AR,2022-05-09 20:13:30,-38.0023,-57.5575,55.94,80,75,12.66
109,Zhezkazgan,KZ,2022-05-09 20:13:30,47.8043,67.7144,64.87,24,100,17.9
110,Pacific Grove,US,2022-05-09 20:13:31,36.6177,-121.9166,60.91,54,0,14.97
111,Deputatskiy,RU,2022-05-09 20:13:31,69.3,139.9,11.41,88,99,8.63
112,Kpandu,GH,2022-05-09 20:13:32,6.9954,0.2931,80.19,77,99,4.52
113,Paamiut,GL,2022-05-09 20:13:33,61.994,-49.6678,32.77,83,12,14.47
114,Mamou,GN,2022-05-09 20:13:33,10.5,-12.0,75.51,81,58,2.73
115,Cairns,AU,2022-05-09 20:12:09,-16.9167,145.7667,77.07,97,75,6.91
116,Baruun-Urt,MN,2022-05-09 20:13:34,46.6806,113.2792,35.51,37,100,10.6
117,Anito,PH,2022-05-09 20:13:34,12.4497,125.2886,78.33,89,100,7.83
118,Assiniboia,CA,2022-05-09 20:13:35,49.6334,-105.9845,50.7,62,100,0.83
119,Jasdan,IN,2022-05-09 20:13:35,22.0333,71.2,84.42,55,36,17.43
120,Qaanaaq,GL,2022-05-09 20:13:35,77.484,-69.3632,21.83,78,55,1.3
121,Khatanga,RU,2022-05-09 20:13:36,71.9667,102.5,32.5,98,100,16.58
122,Astara,AZ,2022-05-09 20:13:36,38.5,48.6667,50.7,95,100,0.31
123,Kihei,US,2022-05-09 20:13:37,20.785,-156.4656,82.42,75,20,6.91
124,Tyrma,RU,2022-05-09 20:12:14,50.0833,132.1667,42.51,71,29,2.1
125,Lokosovo,RU,2022-05-09 20:13:37,61.1333,74.8167,45.64,82,17,6.4
126,Vuktyl,RU,2022-05-09 20:13:38,63.8567,57.3094,38.98,84,100,6.64
127,Katsuura,JP,2022-05-09 20:13:38,35.1333,140.3,56.7,88,100,16.75
128,Maniitsoq,GL,2022-05-09 20:09:27,65.4167,-52.9,30.94,94,100,15.97
129,Antalaha,MG,2022-05-09 20:13:39,-14.9003,50.2788,73.94,90,19,4.07
130,Havoysund,NO,2022-05-09 20:13:39,70.9963,24.6622,34.03,88,99,3.65
131,Riyadh,SA,2022-05-09 20:13:40,24.6877,46.7219,80.74,15,0,9.24
132,Nazca,PE,2022-05-09 20:13:40,-14.8333,-74.95,80.4,37,33,6.76
133,Saldanha,ZA,2022-05-09 20:11:04,-33.0117,17.9442,56.68,82,70,6.93
134,Jalu,LY,2022-05-09 20:13:41,29.0331,21.5482,71.46,38,2,16.31
135,Papagaios,BR,2022-05-09 20:13:41,-19.4492,-44.7478,75.87,44,74,6.82
